,sitios,fecha,tem_agua,tem_aire,od,ph,olores,color,espumas,mat_susp,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,dqo_mg_l,turbiedad_ntu,cr_total_mg_l,clorofila_a_ug_l,microcistina_ug_l,ica
0,Canal Villanueva y Río Luján,23/2/2022,24.5,23.3,5.3,6.56,False,False,False,True,2200.0,100.0,130.0,2.9,0.42,0.23,0.15,6.2,29.0,90.0,,,,55.0
1,Río Lujan y Arroyo Caraguatá,23/2/2022,25.4,23.3,2.25,6.56,True,True,False,False,1200.0,200.0,400.0,3.3,0.51,0.41,0.35,5.8,29.0,34.0,,,,42.0
2,Canal Aliviador y Río Lujan,23/2/2022,24.6,23.3,2.94,6.59,False,True,False,False,1800.0,200.0,580.0,6.5,0.05,0.59,0.54,1.9,29.0,17.0,,,0.2,45.0
3,Río Carapachay y Arroyo Gallo Fiambre,23/2/2022,25.2,23.3,2.22,7.45,True,True,False,False,1400.0,100.0,300.0,7.4,1.0,0.38,0.4,5.8,29.0,23.0,,,,46.0
4,Río Reconquista y Río Lujan,23/2/2022,24.1,20.0,1.02,6.39,False,True,False,True,1100.0,100.0,370.0,8.8,0.049,0.55,0.54,2.6,59.0,18.0,,,,44.0
5,Rio Tigre 100m antes del Rio Luján,23/2/2022,24.9,23.3,3.5,6.53,False,False,False,True,3200.0,200.0,750.0,4.4,3.5,1.1,0.91,3.9,130.0,8.9,,,,40.0
6,Río Lujan y Canal San Fernando,23/2/2022,24.5,20.0,1.5,6.54,False,True,False,True,18000.0,1500.0,100.0,5.6,2.0,0.73,0.6,3.5,42.0,12.0,,,0.4,35.0
7,Río Capitán y Río San Antonio,23/2/2022,24.5,21.0,6.3,6.48,False,True,False,False,1000.0,200.0,1200.0,3.1,0.049,0.17,0.16,5.5,69.0,90.0,,,,46.0
8,Arroyo Abra Vieja y Santa Rosa,23/2/2022,23.4,21.0,4.49,6.76,False,False,False,False,400.0,100.0,220.0,1.9,0.1,0.21,0.19,1.9,29.0,39.0,,,,58.0
9,Del Arca,23/2/2022,21.5,23.0,3.85,6.66,False,False,False,True,2200.0,100.0,270.0,5.4,0.049,0.28,0.39,1.9,29.0,28.0,,,,51.0
10,Espigón La Farola,23/2/2022,,,,,True,True,True,True,,,,,,,,,,,,,,
11,Reserva Ecológica,23/2/2022,27.0,26.0,5.83,6.9,False,False,False,False,6000.0,800.0,760.0,5.9,0.75,0.22,0.18,1.9,41.0,19.0,,,,46.0
12,Playa Espigón de Pacheco,23/2/2022,26.5,27.0,5.3,7.49,False,False,False,False,,,,,,,,,,,,,,
13,Perú Puente,23/2/2022,26.1,27.0,1.8,6.2,False,False,False,True,28000.0,5200.0,3300.0,1.9,7.2,0.43,0.32,7.1,29.0,7.5,,,,33.0
14,Reserva Barrio El Ceibo,23/2/2022,,23.0,,,False,False,False,False,5500.0,100.0,650.0,4.9,0.94,0.28,0.33,1.9,29.0,14.0,,,,45.0
