,tem_agua,tem_aire,od,ph,olores,color,espumas,mat_susp,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,dqo_mg_l,turbiedad_ntu,cr_total_mg_l,clorofila_a_ug_l,microcistina_ug_l,ica,campaña_Primavera,campaña_Verano,campaña_invierno,campaña_otoño
0,1.205402887750349,1.6600000000000001,-0.480382459610946,-1.1597633136094672,False,False,False,True,-0.3,-0.5,-0.4,-0.7,-0.1,-0.7,-1.0,0.2,-0.5,0.9,0.0,0.0,1.0,1.0833333333333333,False,True,False,False
1,1.373078714485328,1.6600000000000001,-1.485987471150675,-1.1597633136094672,True,True,False,False,-0.5,-0.1,0.2,-0.5,-0.1,0.1,0.0,0.2,-0.5,0.3,0.0,0.0,1.0,0.0,False,True,False,False
2,1.224033535165347,1.6600000000000001,-1.258489943949884,-1.124260355029585,False,True,False,False,-0.3,-0.1,0.2,0.3,-0.7,0.5,0.6,-1.0,-0.5,-0.5,0.0,0.0,1.0,0.25,False,True,False,False
3,1.3358174196553327,1.6600000000000001,-1.495878667985492,-0.10650887573964472,True,True,False,False,-0.3,-0.5,0.0,0.3,0.3,-0.1,0.2,0.2,-0.5,-0.1,0.0,0.0,1.0,0.3333333333333333,False,True,False,False
4,1.1308802980903587,1.0,-1.8915265413781728,-1.3609467455621296,False,True,False,True,-0.5,-0.5,0.0,0.5,-0.9,0.5,0.6,-0.6,1.0,-0.5,0.0,0.0,1.0,0.16666666666666666,False,True,False,False
5,1.2799254774103397,1.6600000000000001,-1.0738542696999664,-1.195266272189348,False,False,False,True,-0.1,-0.1,0.4,-0.3,0.7,0.9,0.8,-0.4,2.0,-0.9,0.0,0.0,1.0,-0.16666666666666666,False,True,False,False
6,1.205402887750349,1.0,-1.7332673920211004,-1.183431952662721,False,True,False,True,0.3,0.5,-0.4,-0.1,0.7,0.7,0.6,-0.4,0.5,-0.7,0.0,0.0,1.0,-0.5833333333333334,False,True,False,False
7,1.205402887750349,1.2,-0.15067589845037904,-1.2544378698224838,False,True,False,False,-0.5,-0.1,0.6,-0.7,-0.9,-0.9,-1.0,0.2,1.5,0.9,0.0,0.0,1.0,0.3333333333333333,False,True,False,False
8,1.0004657661853744,1.2,-0.7474447741510051,-0.9230769230769227,False,False,False,False,-0.9,-0.5,-0.2,-0.9,-0.5,-0.7,-0.8,-1.0,-0.5,0.5,0.0,0.0,1.0,1.3333333333333333,False,True,False,False
9,0.646483465300419,1.6,-0.958456973293768,-1.0414201183431944,False,False,False,True,-0.3,-0.5,-0.2,-0.1,-0.9,-0.3,0.2,-1.0,-0.5,0.1,0.0,0.0,1.0,0.75,False,True,False,False
11,1.671169073125291,2.2,-0.3056379821958454,-0.7573964497041411,False,False,False,False,0.1,0.3,0.4,0.1,0.1,-0.7,-0.8,-1.0,0.5,-0.3,0.0,0.0,1.0,0.3333333333333333,False,True,False,False
13,1.5034932463903121,2.4,-1.6343554236729303,-1.5857988165680459,False,False,False,True,0.5,0.7,0.8,-0.9,0.9,0.1,-0.2,0.4,-0.5,-0.9,0.0,0.0,1.0,-0.75,False,True,False,False
14,0.8141592920353978,1.6,-0.19024068578964712,0.04260355029585747,False,False,False,False,0.1,-0.5,0.4,-0.1,0.3,-0.3,0.0,-1.0,-0.5,-0.7,0.0,0.0,1.0,0.25,False,True,False,False
15,0.9967396367023751,1.4,-0.4520276953511371,-0.07573964497041422,False,False,False,False,0.1,-0.1,0.8,0.3,-0.1,-0.5,-0.2,-1.0,-0.5,-0.5,0.0,0.0,1.0,-0.16666666666666666,False,True,False,False
